"","Glottocode","Family","InventoryID","Phonemes","Nonlabiodental.phonemes","Fricatives","Nonlabiodental.Fricatives","Labiodentals","Subsistence.AUTOTYP","Subsistence.TOM","Area","Latitude","Longitude","has.labiodentals","Dist"
"1","aari1239","South Omotic [sout2845]",1483,36,35,6,5,1,NA,"AGR","Africa",5.95034,36.5721,TRUE,3830.67867613363
"2","abar1238","Atlantic-Congo [atla1278]",1617,36,35,4,3,1,NA,"AGR","Africa",6.5805,10.2267,TRUE,3841.10553641291
"3","abid1235","Atlantic-Congo [atla1278]",1526,38,37,3,2,1,NA,"AGR","Africa",5.65656,-4.58421,TRUE,4572.11004805606
"4","abua1244","Atlantic-Congo [atla1278]",1297,40,38,7,5,2,NA,"AGR","Africa",4.83057,6.61492,TRUE,3820.86581837042
"5","abur1243","Atlantic-Congo [atla1278]",1521,38,36,4,2,2,NA,"AGR","Africa",5.21534,-3.64123,TRUE,4468.75217969575
"6","ache1245","Narrow Talodi [narr1279]",1428,38,38,1,1,0,NA,"AGR","Africa",10.8827,30.3187,FALSE,4153.94923370278
"7","acol1236","Nilotic [nilo1247]",1433,29,29,0,0,0,NA,"AGR","Africa",3.57738,32.5147,FALSE,3430.35663530021
"8","adam1253","Atlantic-Congo [atla1278]",1234,36,36,4,4,0,"AGR","AGR","Africa",8.140326,13.077338,FALSE,3910.08589365138
"9","adan1247","Atlantic-Congo [atla1278]",692,39,37,5,3,2,NA,"AGR","Africa",5.9437,0.13243,TRUE,4287.79916369383
"10","adio1239","Atlantic-Congo [atla1278]",1527,32,31,3,2,1,NA,"AGR","Africa",5.38228,-4.52522,TRUE,4544.42790465155
"11","afad1236","Afro-Asiatic [afro1255]",198,36,34,5,4,2,NA,"AGR","Africa",12.0551,14.6343,TRUE,4291.64879535597
"12","afar1241","Afro-Asiatic [afro1255]",1342,27,26,5,4,1,NA,"AGR","Africa",12.2281,41.8083,TRUE,4699.99176733917
"13","afit1238","Nyimang [nyim1244]",1295,26,25,2,1,1,NA,"AGR","Africa",12.446,30.7611,TRUE,4333.01369987042
"14","aghe1239","Atlantic-Congo [atla1278]",1524,49,45,5,3,4,NA,"AGR","Africa",6.38956,10.0807,TRUE,3826.88979267228
"15","ahan1243","Atlantic-Congo [atla1278]",1400,40,39,5,4,1,NA,"AGR","Africa",4.85147,-1.94657,TRUE,4322.26970980316
"16","ahan1244","Atlantic-Congo [atla1278]",1544,43,41,7,5,2,NA,"AGR","Africa",7.44139,6.00896,TRUE,4109.88615263252
"17","ajab1235","Atlantic-Congo [atla1278]",651,45,43,9,7,2,NA,"AGR","Africa",7.06634,1.64992,TRUE,4302.42622008242
"18","ajas1235","Kresh-Aja [kres1240]",1250,48,45,11,9,3,NA,"AGR","Africa",8.58003,25.6122,TRUE,3829.68056069608
"19","akan1250","Atlantic-Congo [atla1278]",1245,60,59,6,5,1,NA,"AGR","Africa",6.34756,-1.33254,TRUE,4416.27795980957
"20","akas1242","Atlantic-Congo [atla1278]",1572,52,51,2,1,1,NA,"AGR","Africa",8.8858,1.37035,TRUE,4491.03842765138
"21","akoo1248","Atlantic-Congo [atla1278]",1554,32,32,3,3,0,NA,"AGR","Africa",4.9243,9.65522,FALSE,3692.72277505293
"22","akpe1248","Atlantic-Congo [atla1278]",1532,34,33,5,4,1,NA,"AGR","Africa",7.50256,5.95559,TRUE,4118.53021144006
"23","alab1254","Afro-Asiatic [afro1255]",1451,62,60,12,10,2,NA,"AGR","Africa",7.39014,38.1732,TRUE,4046.68605229963
"24","alla1248","Atlantic-Congo [atla1278]",1529,36,34,6,4,2,NA,"AGR","Africa",5.22371,-4.42647,TRUE,4523.91591776628
"25","amas1236","Nyimang [nyim1244]",504,25,25,1,1,0,NA,"AGR","Africa",12.0993,29.4332,FALSE,4268.57887258919
"26","ambe1247","Atlantic-Congo [atla1278]",1091,51,50,6,5,1,NA,"AGR","Africa",5.94043,9.62028,TRUE,3798.63855320143
"27","amha1245","Afro-Asiatic [afro1255]",2156,68,64,NA,NA,4,NA,"AGR","Africa",11.708182,39.543456,TRUE,4544.49271223693
"28","amoo1242","Atlantic-Congo [atla1278]",220,35,33,6,4,2,NA,"AGR","Africa",10.3229,8.65405,TRUE,4289.38237916161
"29","anfi1235","Ta-Ne-Omotic [gong1255]",1661,48,48,4,4,0,NA,"AGR","Africa",8.568,34.647,FALSE,4028.05128504515
"30","ango1258","Indo-European [indo1319]",1551,36,34,6,4,2,NA,"AGR","Africa",0.11438,6.59486,TRUE,3361.385752578
"31","anii1245","Atlantic-Congo [atla1278]",1658,36,35,4,3,1,NA,"AGR","Africa",9.11127,1.60169,TRUE,4499.78433377961
"32","anua1242","Nilotic [nilo1247]",1165,47,47,0,0,0,NA,"AGR","Africa",7.57714,34.0267,FALSE,3902.62921522382
"33","anuf1239","Atlantic-Congo [atla1278]",1246,59,56,9,6,3,NA,"AGR","Africa",10.2839,0.56021,TRUE,4669.41500648659
"34","anyi1244","Atlantic-Congo [atla1278]",1244,49,46,7,4,3,NA,"AGR","Africa",6.1627,-4.64232,TRUE,4619.76717826727
"35","anyi1245","Atlantic-Congo [atla1278]",1242,40,39,3,2,1,NA,"AGR","Africa",6.31781,-3.30532,TRUE,4542.3691164385
"36","apro1235","Atlantic-Congo [atla1278]",205,33,31,6,4,2,NA,"AGR","Africa",5.20273,-4.52192,TRUE,4528.79840569295
"37","arbo1245","Afro-Asiatic [afro1255]",1525,59,57,8,6,2,NA,"AGR","Africa",4.92183,36.7986,TRUE,3735.64463036086
"38","argo1244","Afro-Asiatic [afro1255]",1396,38,37,7,6,1,NA,"AGR","Africa",10.6596,39.756,TRUE,4447.81711645747
"39","arin1244","Central Sudanic [cent2225]",1425,49,46,5,2,3,NA,"AGR","Africa",3.56143,31.3071,TRUE,3390.81002197987
"40","ashe1269","Atlantic-Congo [atla1278]",1530,36,35,6,5,1,NA,"AGR","Africa",9.36574,7.39443,TRUE,4241.87528930584
"41","atti1239","Atlantic-Congo [atla1278]",1550,47,45,5,3,2,NA,"AGR","Africa",5.9977,-3.8209,TRUE,4549.0997963713
"42","avat1244","Atlantic-Congo [atla1278]",1296,50,48,10,8,2,NA,"AGR","Africa",6.8688,0.41314,TRUE,4356.32420948404
"43","avik1243","Atlantic-Congo [atla1278]",1358,34,32,7,5,2,NA,"AGR","Africa",5.15838,-5.2529,TRUE,4576.65883141281
"44","avok1242","Central Sudanic [cent2225]",660,55,52,6,3,3,NA,"AGR","Africa",4.38639,29.9379,TRUE,3442.41715838829
"45","awin1248","Atlantic-Congo [atla1278]",1176,56,55,10,9,1,NA,"AGR","Africa",5.88362,10.264,TRUE,3767.37656573446
"46","awng1244","Afro-Asiatic [afro1255]",1542,39,38,6,5,1,NA,"AGR","Africa",10.9819,36.6916,TRUE,4354.11513947291
"47","awut1241","Atlantic-Congo [atla1278]",1523,50,48,5,4,2,NA,"AGR","Africa",5.42441,-0.59545,TRUE,4285.83655932693
"48","ayer1245","Atlantic-Congo [atla1278]",1545,43,41,7,5,2,NA,"AGR","Africa",7.52206,6.01979,TRUE,4117.42409699714
"49","baan1242","Atlantic-Congo [atla1278]",741,56,54,6,4,2,NA,"AGR","Africa",10.8083,5.7261,TRUE,4460.95196005327
"50","baat1238","Atlantic-Congo [atla1278]",669,31,30,3,2,1,NA,"AGR","Africa",9.63186,2.99607,TRUE,4475.74388605337
"51","baba1264","Atlantic-Congo [atla1278]",1178,30,28,7,5,2,NA,"AGR","Africa",6.11222,10.5216,TRUE,3781.28146490402
"52","baba1266","Atlantic-Congo [atla1278]",1179,33,29,7,5,4,NA,"AGR","Africa",5.97863,10.2869,TRUE,3776.34427893204
"53","bade1248","Afro-Asiatic [afro1255]",1437,46,44,11,9,2,NA,"AGR","Africa",12.789,10.6557,TRUE,4477.57398506447
"54","bady1239","Atlantic-Congo [atla1278]",1329,43,42,5,4,1,NA,"AGR","Africa",12.6425,-13.4759,TRUE,5794.59055120176
"55","bafa1247","Atlantic-Congo [atla1278]",926,47,46,3,2,1,NA,"AGR","Africa",4.53307,9.522,TRUE,3658.17098788543
"56","bafa1249","Atlantic-Congo [atla1278]",1656,59,57,4,3,2,NA,"AGR","Africa",5.84612,10.4518,TRUE,3756.27971652596
"57","bafi1243","Atlantic-Congo [atla1278]",1258,48,46,5,3,2,NA,"AGR","Africa",4.72603,11.0982,TRUE,3615.40460364234
"58","bafu1246","Atlantic-Congo [atla1278]",662,49,48,6,5,1,NA,"AGR","Africa",6.14153,10.1194,TRUE,3799.69349263367
"59","baga1272","Atlantic-Congo [atla1278]",1199,26,25,3,2,1,NA,"AGR","Africa",10.4793,-14.4756,TRUE,5695.48284321845
"60","baga1273","Atlantic-Congo [atla1278]",1060,25,24,2,1,1,NA,"AGR","Africa",10.1286,-13.947,TRUE,5627.29967245074
"61","bagi1246","Central Sudanic [cent2225]",1469,48,46,7,5,2,NA,"AGR","Africa",11.52392,14.769495,TRUE,4231.12238271805
"62","baka1272","Atlantic-Congo [atla1278]",1574,35,35,3,3,0,"HG","HG","Africa",2.16013,13.7804,FALSE,3252.68577300796
"63","baka1273","Atlantic-Congo [atla1278]",1555,34,34,4,4,0,NA,"AGR","Africa",4.79991,9.80402,FALSE,3673.82916304132
